zdaid;zdaversion;zdacreated;zdachanged;zdaname;zdaxepsg2154;zdayepsg2154;zdcid;zdapostalregion;zdatown;zdatype
43188;1836216-1805091;2014-12-29T00:00:00+00:00;2026-08-31T08:20:39+00:00;Sainte-Geneviève-des-Bois;649393;6839418;60785;91549;Sainte-Geneviève-des-Bois;railStation
58955;1835300-1088373;2014-12-29T00:00:00+00:00;2026-08-25T13:25:52+00:00;Dordives;682348;6783086;74077;45127;Dordives;railStation
411387;1835295-1106616;2015-01-26T00:00:00+00:00;2026-08-25T13:15:33+00:00;Ormoy-Villers;688191;6900122;411388;60479;Ormoy-Villers;railStation
411378;1835230-1088971;2015-01-26T00:00:00+00:00;2026-08-25T09:08:45+00:00;Château-Thierry;729943;6882083;411379;02168;Château-Thierry;railStation
411372;1835227-1095721;2015-01-26T00:00:00+00:00;2026-08-25T09:06:20+00:00;La Ferté-Milon;708799;6897772;411373;02307;La Ferté-Milon;railStation
47889;1108113-1106007;2014-12-29T00:00:00+00:00;2026-08-06T09:55:17+00:00;Saint-Rémy-lès-Chevreuse;631664;6845134;62978;78575;Saint-Rémy-lès-Chevreuse;railStation
43171;1809753-1809754;2014-12-29T15:31:51+00:00;2026-06-23T09:32:56+00:00;Nanterre - Ville;640987;6866413;70940;92050;Nanterre;railStation
46222;1802196-73482;2014-12-29T15:31:51+00:00;2026-05-29T09:26:03+00:00;Vert-Galant;668238;6871656;73482;93078;Villepinte;railStation
47767;1801067-1209690;2014-12-29T00:00:00+00:00;2026-05-20T09:26:03+00:00;Sèvres - Ville-d'Avray;641322;6858874;70686;92072;Sèvres;railStation
43170;1801062-70956;2014-12-29T15:31:51+00:00;2026-05-20T09:24:31+00:00;Nanterre Université;642344;6867079;70956;92050;Nanterre;railStation
47937;1801056-1097915;2014-12-29T00:00:00+00:00;2026-05-20T09:22:11+00:00;L'Étang-la-Ville;632284;6863524;73603;78224;L'Étang-la-Ville;railStation
47969;1801055-72177;2014-12-29T15:31:51+00:00;2026-05-20T09:21:46+00:00;Les Vallées;645558;6868440;72177;92025;Colombes;railStation
43118;1801041-1091435;2014-12-29T00:00:00+00:00;2026-05-20T09:16:31+00:00;Courbevoie;644955;6866774;73614;92026;Courbevoie;railStation
43069;1801026-1119704;2014-12-29T00:00:00+00:00;2026-05-20T09:10:50+00:00;Asnières-sur-Seine;647457;6867558;72132;92004;Asnières-sur-Seine;railStation
474082;1328422-1328423;2019-03-27T00:00:00+00:00;2026-04-23T15:28:39+00:00;Noisy-le-Grand - Mont d'Est;666884;6860187;412697;93051;Noisy-le-Grand;railStation
462398;1597421-1158438;2018-09-25T00:00:00+00:00;2024-07-30T03:15:28+00:00;Aéroport CDG 1 (Terminal 3) - RER;667913;6878965;73596;93073;Tremblay-en-France;railStation
473364;1570787-1804174;2019-03-13T00:00:00+00:00;2024-05-14T06:53:43+00:00;Aéroport Charles de Gaulle 2 (Terminal 2);668610;6878333;73699;93073;Tremblay-en-France;railStation
43147;1570782-1095944;2014-12-29T00:00:00+00:00;2024-05-14T06:44:57+00:00;La Verrière;622299;6851082;63426;78644;La Verrière;railStation
58267;1570778-73098;2014-12-29T15:31:51+00:00;2024-05-14T06:42:37+00:00;Les Boullereaux Champigny;664171;6858422;73098;94017;Champigny-sur-Marne;railStation
47684;1570775-1119741;2014-12-29T00:00:00+00:00;2024-05-14T06:41:09+00:00;Montgeron - Crosne;660367;6845532;63072;91421;Montgeron;railStation
43164;1570766-1119737;2014-12-29T00:00:00+00:00;2024-05-14T06:34:46+00:00;Mitry - Claye;673809;6875149;69065;77294;Mitry-Mory;railStation
47052;1328390-1328391;2014-12-29T00:00:00+00:00;2024-04-11T08:09:37+00:00;Courcelle-sur-Yvette;633600;6844953;62951;91272;Gif-sur-Yvette;railStation
47238;1105546-1105547;2014-12-29T00:00:00+00:00;2024-04-11T08:09:37+00:00;Fontenay-sous-Bois;660628;6860549;71630;94033;Fontenay-sous-Bois;railStation
47886;1105640-1105641;2014-12-29T00:00:00+00:00;2024-04-11T08:09:37+00:00;Nogent-sur-Marne;661219;6859491;71590;94052;Nogent-sur-Marne;railStation
